imdb_id,source,rating
tt0075223,IMDb,6.9
tt0075223,Metacritic,41.0
tt0090022,IMDb,7.2
tt0090022,Metacritic,64.0
tt1074638,IMDb,7.8
tt1074638,Metacritic,81.0
tt0081529,IMDb,5.3
tt1735898,IMDb,6.1
tt1735898,Metacritic,57.0
tt0186566,IMDb,6.5
tt0186566,Metacritic,50.0
tt2379713,IMDb,6.8
tt2379713,Metacritic,60.0
tt2250912,IMDb,7.4
tt2250912,Metacritic,73.0
tt0338459,IMDb,4.3
tt0338459,Metacritic,57.0
tt0092005,IMDb,8.099999999999998
tt0092005,Metacritic,75.0
tt0084726,IMDb,7.7
tt0084726,Metacritic,67.0
tt0088170,IMDb,6.7
tt0088170,Metacritic,56.0
tt0415306,IMDb,6.6
tt0415306,Metacritic,66.0
tt1706697,IMDb,6.1
tt1706697,Metacritic,71.0
tt0398286,IMDb,7.7
tt0398286,Metacritic,71.0
tt1637725,IMDb,6.9
tt1637725,Metacritic,70.0
tt0096754,IMDb,7.5
tt0096754,Metacritic,62.0
tt11125620,IMDb,5.3
tt0072608,IMDb,6.1
tt0948470,IMDb,6.9
tt0948470,Metacritic,53.0
tt0848228,IMDb,8.0
tt0848228,Metacritic,68.0
tt0083642,IMDb,6.0
tt0083642,Metacritic,40.0
tt0080455,IMDb,7.9
tt3874544,IMDb,6.3
tt6932874,IMDb,5.9
tt1194173,IMDb,6.6
tt1194173,Metacritic,61.0
tt0440963,IMDb,8.0
tt0440963,Metacritic,85.0
tt0088847,IMDb,7.8
tt0088847,Metacritic,66.0
tt0082136,IMDb,6.3
tt0090863,IMDb,7.0
tt0090863,Metacritic,77.0
tt7069210,IMDb,6.3
tt7069210,Metacritic,53.0
tt2850386,IMDb,7.0
tt2850386,Metacritic,56.0
tt0069947,IMDb,7.8
tt0069947,Metacritic,80.0
tt0458352,IMDb,6.9
tt0458352,Metacritic,62.0
tt2908446,IMDb,6.2
tt2908446,Metacritic,42.0
tt0074483,IMDb,6.7
tt0074483,Metacritic,48.0
tt4630562,IMDb,6.6
tt4630562,Metacritic,56.0
tt0119116,IMDb,7.7
tt0119116,Metacritic,52.0
tt0106918,IMDb,6.8
tt0106918,Metacritic,58.0
tt0109813,IMDb,4.9
tt0109813,Metacritic,38.0
tt10327252,IMDb,5.4
tt10327252,Metacritic,53.0
tt0106977,IMDb,7.8
tt0106977,Metacritic,87.0
tt0068646,IMDb,9.2
tt0082474,IMDb,7.2
tt0082474,Metacritic,70.0
tt0073075,IMDb,6.7
tt1119646,IMDb,7.7
tt1119646,Metacritic,73.0
tt0171363,IMDb,5.0
tt0171363,Metacritic,33.0
tt1454029,IMDb,8.0
tt1454029,Metacritic,62.0
tt0119314,IMDb,6.6
tt0119314,Metacritic,65.0
tt1392170,IMDb,7.2
tt0099810,IMDb,7.599999999999999
tt0099810,Metacritic,58.0
tt0079336,IMDb,7.3
tt0938283,IMDb,4.0
tt0938283,Metacritic,20.0
tt0102266,IMDb,7.0
tt0102266,Metacritic,52.0
tt0068833,IMDb,6.0
tt0068833,Metacritic,42.0
tt0104691,IMDb,7.7
tt0104691,Metacritic,76.0
tt0918940,IMDb,6.2
tt0918940,Metacritic,44.0
tt0074797,IMDb,6.8
tt0110357,IMDb,8.5
tt6105098,IMDb,6.8
tt0097757,IMDb,7.599999999999999
tt0097757,Metacritic,88.0
tt0093428,IMDb,6.7
tt0093428,Metacritic,59.0
tt0120737,IMDb,8.8
tt0120737,Metacritic,92.0
tt3659388,IMDb,8.0
tt3659388,Metacritic,80.0
tt0133093,IMDb,8.699999999999998
tt0133093,Metacritic,73.0
tt0242653,IMDb,6.8
tt0242653,Metacritic,47.0
tt4779682,IMDb,5.6
tt4779682,Metacritic,46.0
tt0209163,IMDb,6.4
tt0209163,Metacritic,48.0
tt0117218,IMDb,5.6
tt0117218,Metacritic,62.0
tt1386588,IMDb,6.7
tt1386588,Metacritic,70.0
tt0073496,IMDb,6.4
tt0187393,IMDb,7.2
tt0187393,Metacritic,69.0
tt0177971,IMDb,6.4
tt0177971,Metacritic,59.0
tt0075066,IMDb,7.2
tt0075066,Metacritic,60.0
tt0338348,IMDb,6.6
tt0338348,Metacritic,61.0
tt0075086,IMDb,4.9
tt0247638,IMDb,6.4
tt0247638,Metacritic,52.0
tt1041829,IMDb,6.7
tt1041829,Metacritic,48.0
tt0454921,IMDb,8.0
tt0454921,Metacritic,64.0
