title,metacritic_score
The Godfather: Part II,
Airport 1975,50
The Life and Times of Grizzly Adams,
The Longest Yard,48
Murder on the Orient Express,52
Herbie Rides Again,49
Benji,53
Freebie and the Bean,
Dirty Mary, Crazy Larry,52
The Texas Chainsaw Massacre,38
The Great Gatsby,55
Erinnerungen an die Zukunft,
Thunderbolt and Lightfoot,62
Chinatown,92
Death Wish,31
The Man with the Golden Gun,43
The Groove Tube,
That's Entertainment,67
Macon County Line,
Gone with the Wind,97
The Exorcist,81
The Sting,83
American Graffiti,97
Papillon,51
The Way We Were,61
Magnum Force,58
Live and Let Die,55
Robin Hood,32
Paper Moon,77
Serpico,87
Jesus Christ Superstar,64
The World's Greatest Athlete,
Enter the Dragon,83
Sleeper,49
A Touch of Class,
The Day of the Jackal,80
High Plains Drifter,69
The Last Detail,89
Battle for the Planet of the Apes,40
Pat Garrett and Billy the Kid,53
Westworld,77
Lost Horizon,
The Day of the Dolphin,
Jonathan Livingston Seagull,
The Godfather,
The Poseidon Adventure,22
What's Up, Doc?,
Deliverance,80
Deep Throat,64
Jeremiah Johnson,75
Cabaret,80
The Getaway,63
Last Tango in Paris,77
Lady Sings the Blues,
Everything You Always Wanted to Know,66
The Valachi Papers,
Sounder,80
The Life and Times of Judge Roy Bean,
Pete 'n' Tillie,
Frenzy,92
Across 110th Street,
Shaft's Big Score,
Conquest of the Planet of the Apes,49
The Cowboys,50
Joe Kidd,52
The Last House on the Left,42
